onet_soc,title,R1,R2,R3,employment,union
19-4012.01,Precision Agriculture Technicians,0.542144,0.706089,-0.513514,14340,0
19-4013.00,Food Science Technicians,0.0720901,-0.162031,-0.586294,14200,0
19-4021.00,Biological Technicians,-0.208524,0.196081,-1.53516,76190,0.422545
19-4031.00,Chemical Technicians,0.515701,0.614775,-1.1438,55640,0.119137
19-4042.00,"Environmental Science and Protection Technicians, Including Health",0.30508,0.487917,-0.251139,39390,0.160082
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",0.115945,-0.0487648,-1.24648,9710,0.160082
19-4051.00,Nuclear Technicians,1.38864,0.718418,-0.512904,5990,0.160082
19-4051.02,Nuclear Monitoring Technicians,0.856853,0.923583,-0.486605,5990,0.160082
19-4061.00,Social Science Research Assistants,-1.5653,-0.248951,-1.22544,32940,0.0964205
19-4071.00,Forest and Conservation Technicians,1.32317,0.658803,0.671788,31080,0.0964205
19-4092.00,Forensic Science Technicians,0.682287,0.666372,0.447227,19450,0.0964205
19-4099.01,Quality Control Analysts,0.242073,-0.0193094,-1.07476,71400,0.0964205
19-4099.03,Remote Sensing Technicians,-0.505527,0.594282,-1.67572,71400,0.0964205
19-5011.00,Occupational Health and Safety Specialists,0.569936,1.50274,0.181819,128430,0.102615
19-5012.00,Occupational Health and Safety Technicians,0.659832,1.08658,0.32265,31450,0.102615
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,-0.550846,0.508315,1.96236,55130,0.0505828
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",-1.23359,0.205344,1.26824,342350,0.276929
21-1013.00,Marriage and Family Therapists,-1.39529,0.072947,1.47245,65870,0
21-1014.00,Mental Health Counselors,-1.31953,0.34915,1.72105,55130,0.0505828
21-1015.00,Rehabilitation Counselors,-0.97851,0.0800102,1.49151,88930,0.0927906
21-1021.00,"Child, Family, and School Social Workers",-0.58432,0.461634,2.1108,382960,0.341497
21-1022.00,Healthcare Social Workers,-0.9534,0.0560765,2.12136,185940,0.172356
21-1023.00,Mental Health and Substance Abuse Social Workers,-0.896964,0.531171,1.64601,125910,0.34645
21-1091.00,Health Education Specialists,-0.740526,0.457613,1.66284,65150,0.138189
21-1092.00,Probation Officers and Correctional Treatment Specialists,-0.184884,0.115914,1.79375,86820,0.417488
21-1093.00,Social and Human Service Assistants,-0.668782,-0.220788,1.659,424220,0.100565
21-1094.00,Community Health Workers,-0.206323,0.355642,1.70626,60730,0.138189
21-2011.00,Clergy,-1.18414,0.343499,1.65392,58080,0.0103364
21-2021.00,"Directors, Religious Activities and Education",-1.11681,0.334879,0.89324,21460,0
23-1011.00,Lawyers,-1.28732,0.937745,0.620286,747750,0.0819255
23-1012.00,Judicial Law Clerks,-1.87541,-0.692816,-0.770429,13220,0.176496
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",-1.45004,0.129794,0.201594,16230,0.0819255
23-1022.00,"Arbitrators, Mediators, and Conciliators",-1.52314,0.0622711,-0.364713,7860,0.0819255
23-1023.00,"Judges, Magistrate Judges, and Magistrates",-1.32097,0.595039,0.855503,25580,0.0819255
23-2011.00,Paralegals and Legal Assistants,-1.57595,-0.591713,-0.328005,367220,0.0431603
23-2093.00,"Title Examiners, Abstractors, and Searchers",-1.31554,-0.587265,-0.741502,48170,0.0509045
25-1011.00,"Business Teachers, Postsecondary",-1.61977,0.174452,0.0636565,81780,0.238221
25-1021.00,"Computer Science Teachers, Postsecondary",-1.12697,0.930767,-0.299338,36240,0.238221
25-1022.00,"Mathematical Science Teachers, Postsecondary",-1.61127,0.00946478,-0.602447,48820,0.238221
25-1031.00,"Architecture Teachers, Postsecondary",-0.78597,1.18279,0.00211074,9120,0.238221
25-1032.00,"Engineering Teachers, Postsecondary",-0.860634,1.19184,-0.964928,39910,0.238221
